job_seed,job_model,job_scheme_types,"backend","model","type","n_rounds","time","lognorm","relnorm","scheme","T"
593,Unid,ZJA,GPU,"Unid",ZJA,10,9.455175773,-24.641195687179156,0.8683193761017857,"ZJA(0.001102447509765625)",501
773,SimpleMixture,ZJA,CPU,"SimpleMixture",ZJA,3,3.563594342,-782.6651015617884,0.5142212998196309,"ZJA(3.0625)",4
773,SimpleMixture,ZJA,CPU,"SimpleMixture",ZJA,4,7.161917605,-783.0032314508086,0.36669257553556445,"ZJA(0.765625)",7
773,SimpleMixture,ZJA,CPU,"SimpleMixture",ZJA,5,16.649748839,-782.3472405557943,0.7066353225893286,"ZJA(0.19140625)",15
773,SimpleMixture,ZJA,CPU,"SimpleMixture",ZJA,6,35.343566628,-782.3891974154334,0.6776004880150855,"ZJA(0.0478515625)",31
773,SimpleMixture,ZJA,CPU,"SimpleMixture",ZJA,7,72.461766224,-781.3776407891686,1.8633188223694082,"ZJA(0.011962890625)",63
773,SimpleMixture,ZJA,CPU,"SimpleMixture",ZJA,8,149.015636563,-781.5742677120215,1.5307109305579258,"ZJA(0.00299072265625)",129
773,SimpleMixture,ZJA,GPU,"SimpleMixture",ZJA,3,1.898817538,-782.6651015628304,0.5142212992838433,"ZJA(3.0625)",4
773,SimpleMixture,ZJA,GPU,"SimpleMixture",ZJA,4,0.282536165,-783.0032132016557,0.3666992674254829,"ZJA(0.765625)",7
773,SimpleMixture,ZJA,GPU,"SimpleMixture",ZJA,5,0.640540332,-782.3476115514154,0.7063732126027705,"ZJA(0.19140625)",15
773,SimpleMixture,ZJA,GPU,"SimpleMixture",ZJA,6,1.473846938,-782.3936588195437,0.6745841719183121,"ZJA(0.0478515625)",31
773,SimpleMixture,ZJA,GPU,"SimpleMixture",ZJA,7,3.21211612,-781.3789598625465,1.8608625884488392,"ZJA(0.011962890625)",64
773,SimpleMixture,ZJA,GPU,"SimpleMixture",ZJA,8,6.605949842,-781.5879889037107,1.509851189981469,"ZJA(0.00299072265625)",129
828,Unid,SAIS,CPU,"Unid",SAIS,5,0.513301732,-26.04970207758972,0.21231121667494543,"SAIS{...}(5, 0.0:1.0:1.0)",32
828,Unid,SAIS,CPU,"Unid",SAIS,6,1.029755451,-31.591937268965495,0.000831784413619747,"SAIS{...}(6, 0.0:1.0:1.0)",64
828,Unid,SAIS,CPU,"Unid",SAIS,7,2.485120355,-24.982148830640718,0.6174551586789715,"SAIS{...}(7, 0.0:1.0:1.0)",128
828,Unid,SAIS,CPU,"Unid",SAIS,8,4.467393821,-24.898985837789454,0.6710002041323232,"SAIS{...}(8, 0.0:1.0:1.0)",256
828,Unid,SAIS,CPU,"Unid",SAIS,9,8.697070268,-24.372703440407108,1.1357537865235752,"SAIS{...}(9, 0.0:1.0:1.0)",512
828,Unid,SAIS,CPU,"Unid",SAIS,10,16.99216103,-24.70881610978138,0.8115444570104348,"SAIS{...}(10, 0.0:1.0:1.0)",1024
828,Unid,SAIS,GPU,"Unid",SAIS,5,0.014802443,-91.85711177966755,5.586991841180299e-30,"SAIS{...}(5, 0.0:1.0:1.0)",32
828,Unid,SAIS,GPU,"Unid",SAIS,6,0.014981979,-30.613386936240488,0.0022130426707531463,"SAIS{...}(6, 0.0:1.0:1.0)",64
828,Unid,SAIS,GPU,"Unid",SAIS,7,0.029441026,-28.80306138977152,0.013527083882587923,"SAIS{...}(7, 0.0:1.0:1.0)",128
828,Unid,SAIS,GPU,"Unid",SAIS,8,0.057272455,-25.41970279318391,0.3986375012625808,"SAIS{...}(8, 0.0:1.0:1.0)",256
828,Unid,SAIS,GPU,"Unid",SAIS,9,0.087910249,-25.103380816242293,0.5469593377053008,"SAIS{...}(9, 0.0:1.0:1.0)",512
828,Unid,SAIS,GPU,"Unid",SAIS,10,0.134854488,-24.306670866545595,1.2132820595250347,"SAIS{...}(10, 0.0:1.0:1.0)",1024
524,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,3,8.026654456,-782.3407627658901,0.7112276156443895,"SAIS{...}(3, 0.0:1.0:1.0)",8
524,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,4,17.435364652,-781.2280348560564,2.1640146783738237,"SAIS{...}(4, 0.0:1.0:1.0)",16
524,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,5,34.929517274,-781.524988777097,1.608032244174491,"SAIS{...}(5, 0.0:1.0:1.0)",32
524,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,6,70.667576065,-782.4464337484978,0.6399061535248389,"SAIS{...}(6, 0.0:1.0:1.0)",64
524,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,7,142.531331808,-781.6012960989974,1.4898923976428942,"SAIS{...}(7, 0.0:1.0:1.0)",128
524,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,8,285.36835565,-781.771652698883,1.256521641030937,"SAIS{...}(8, 0.0:1.0:1.0)",256
524,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,3,0.030954182,-782.340588030135,0.7113519033972846,"SAIS{...}(3, 0.0:1.0:1.0)",8
524,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,4,0.048930045,-781.1803505450538,2.269704064530035,"SAIS{...}(4, 0.0:1.0:1.0)",16
524,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,5,0.074951406,-781.6562144498619,1.410276169547197,"SAIS{...}(5, 0.0:1.0:1.0)",32
524,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,6,0.13493697,-782.7621857964849,0.4666453197505136,"SAIS{...}(6, 0.0:1.0:1.0)",64
524,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,7,0.28389631,-781.831959965085,1.1829839703624268,"SAIS{...}(7, 0.0:1.0:1.0)",128
524,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,8,0.516788997,-781.9527328443146,1.0484020582400753,"SAIS{...}(8, 0.0:1.0:1.0)",256
929,Unid,SAIS,CPU,"Unid",SAIS,5,0.494183182,-52.26021108935796,8.788069997070241e-13,"SAIS{...}(5, 0.0:1.0:1.0)",32
929,Unid,SAIS,CPU,"Unid",SAIS,6,0.98570559,-28.61145547532672,0.016383910786058543,"SAIS{...}(6, 0.0:1.0:1.0)",64
929,Unid,SAIS,CPU,"Unid",SAIS,7,2.390180112,-25.119332866702155,0.5383034379786243,"SAIS{...}(7, 0.0:1.0:1.0)",128
929,Unid,SAIS,CPU,"Unid",SAIS,8,4.301715056,-25.165254222084236,0.5141428046356007,"SAIS{...}(8, 0.0:1.0:1.0)",256
