time;lognorm;type;scheme;T;backend
0.465636711;-40.279270385711776;ZJA;ZJA(0.2822265625);28;GPU
0.537719519;-45.49142660345312;ZJA;ZJA(0.2822265625);27;GPU
0.54729704;-30.559190330555907;ZJA;ZJA(0.2822265625);28;GPU
0.346619232;-23.784605411905055;ZJA;ZJA(0.2822265625);21;GPU
0.437319556;-25.933348789422446;ZJA;ZJA(0.2822265625);22;GPU
0.346705343;-23.136766041514676;ZJA;ZJA(0.2822265625);21;GPU
0.499068415;-26.15058918236329;ZJA;ZJA(0.2822265625);25;GPU
0.587466974;-36.38289403260274;ZJA;ZJA(0.2822265625);30;GPU
0.541432933;-48.527256913691375;ZJA;ZJA(0.2822265625);32;GPU
0.979422552;-28.094054415898214;ZJA;ZJA(0.070556640625);52;GPU
0.992510273;-26.962218964919337;ZJA;ZJA(0.070556640625);53;GPU
1.111111568;-28.04269515770074;ZJA;ZJA(0.070556640625);55;GPU
1.01843168;-24.717548201643396;ZJA;ZJA(0.070556640625);54;GPU
0.959220159;-24.15161976093061;ZJA;ZJA(0.070556640625);51;GPU
1.118216993;-25.43023463677496;ZJA;ZJA(0.070556640625);56;GPU
1.082576869;-28.197604825443328;ZJA;ZJA(0.070556640625);58;GPU
1.174052824;-26.682579994126037;ZJA;ZJA(0.070556640625);58;GPU
1.082255479;-28.376239980977303;ZJA;ZJA(0.070556640625);57;GPU
0.999747452;-24.267454535672655;ZJA;ZJA(0.070556640625);53;GPU
2.34050979;-25.912444675584545;ZJA;ZJA(0.01763916015625);118;GPU
2.285334252;-23.831730386051085;ZJA;ZJA(0.01763916015625);113;GPU
2.621706996;-28.932498483945835;ZJA;ZJA(0.01763916015625);127;GPU
2.479361135;-24.270264732346135;ZJA;ZJA(0.01763916015625);117;GPU
2.827294492;-27.6606343901544;ZJA;ZJA(0.01763916015625);129;GPU
2.723650978;-24.8214818017494;ZJA;ZJA(0.01763916015625);120;GPU
2.965832157;-26.06849154095223;ZJA;ZJA(0.01763916015625);126;GPU
2.920564115;-25.384906621205594;ZJA;ZJA(0.01763916015625);122;GPU
2.742461167;-23.53328100233079;ZJA;ZJA(0.01763916015625);110;GPU
3.145040187;-25.93610758518863;ZJA;ZJA(0.01763916015625);123;GPU
